id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,TotalNN,MR_SumNN,MR_Avg_NN,MR_Avg_NN_2010,DR_SumNN,DR_Avg_NN,DR_Avg_NN_2010,HR_SumNN,HR_Avg_NN,HR_Avg_NN_2010
1437,5173,5115,I,CONCORD,MA,"CONCORD,MA",BRMPO,1,MAGIC,7124.78725943,2048272.11978,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1436,5174,5116,I,CONCORD,MA,"CONCORD,MA",BRMPO,1,MAGIC,12889.2356854,8601858.29253,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3153,5175,5146,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2082.69295144,181369.809742,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2839,5176,5119,I,OXFORD,MA,"OXFORD,MA",CMRPC,0,,13139.0011208,8538543.0965,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2826,5177,5120,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3407.17141167,441816.972587,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2757,5178,5121,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,7863.42905395,2696328.40779,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2755,5179,5122,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4534.86862915,1112837.95426,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2834,5180,5123,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3491.78607531,371924.490832,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2835,5181,5124,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4612.55908894,602688.085465,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756,5182,5125,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4505.48364646,802061.211508,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2808,5183,5126,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5645.40658762,1274018.57944,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,5184,5127,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3605.71176802,693782.338297,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2983,5185,5129,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,5389.21235505,863450.282525,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2786,5186,5130,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2393.0416002,263431.21215,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2787,5187,5131,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5579.36938957,1368859.28239,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2788,5188,5132,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1586.74451913,119666.707946,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2754,5189,5133,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,5940.72984609,2026994.64572,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2939,5190,5134,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3856.9262517,523651.178785,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3148,5191,5135,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3052.77949746,448321.468277,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3090,5192,5136,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,8222.30796178,1577371.10238,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,5193,5137,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4859.06638074,571229.212639,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
