id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
2461,1203,1121,I,WRENTHAM,MA,"WRENTHAM,MA",BRMPO,1,SWAP,8683.7793754,2802571.57423,0.7218316712081383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4091,1204,1105,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,13132.9152579,6637260.25145,0.5080023310325783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4381,1205,1111,I,PLAINVILLE,MA,"PLAINVILLE,MA",SRPEDD,0,,14877.0171915,13105507.0705,0.6437140327828255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1206,4332,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,522.686915482,16635.1782656,2516.8251624009426,31931.796526860682,71121.53139655471,1034235.8564481784,12.687332041928222,28.25843147908925,410.9287652947502,283.5408480533776,19.49831772057158,8.754259108930473
4094,1207,1106,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,7859.92927701,1531464.43781,0.41928618538670404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4099,1208,1107,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,4536.77520271,955091.911046,0.3894786527192319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208413,1209,1108,I,CUMBERLAND,RI,"CUMBERLAND,RI",,0,,6241.28326073,1410858.7016,0.3777395050783147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208457,1210,1109,I,CUMBERLAND,RI,"CUMBERLAND,RI",,0,,9001.78708416,1301455.46442,0.4170813758238757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208458,1211,1110,I,CUMBERLAND,RI,"CUMBERLAND,RI",,0,,6133.24835713,1760040.27767,0.41801753088431126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1212,4333,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,631.221592254,23792.7131787,28373.754086189845,426314.20615192916,941429.3961713845,11391156.910048997,15.024948931922477,33.179585377093254,401.4680917952036,277.01298333869045,22.893913910194343,10.367214763026508
4102,1213,1113,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,10593.9318411,3883688.51922,0.5032026324190622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1214,1115,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,7311.05103468,1644764.4866,0.38142716355919215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4097,1215,1116,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,3775.85293423,604163.370977,0.3808164535767875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4104,1216,1114,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,12432.7431357,5462376.56317,0.4388297355848112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4100,1217,1117,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,4150.93311314,932174.699959,0.36788588508885356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4380,1218,1122,I,PLAINVILLE,MA,"PLAINVILLE,MA",SRPEDD,0,,5317.13774813,1349439.54316,0.6110134436435603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4078,1219,1123,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,5391.7067381,747728.017225,0.5403832534939539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4103,1220,1124,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,5899.90181649,1877235.90094,0.45287811228518804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4095,1221,1127,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,4603.06393601,909908.384142,0.3891668586206065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4105,1222,1125,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,11503.0527847,4532842.22091,0.43022534093272813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208319,1223,1126,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,1905.83736625,209341.831933,0.3553997028810011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208315,1224,1128,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,4977.0821857,470958.072981,0.35212420556137014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208455,1225,1131,I,CUMBERLAND,RI,"CUMBERLAND,RI",,0,,5260.96065858,1581516.00274,0.4324784350315698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208456,1226,1132,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,7106.4709182,1996565.12546,0.4538817289022967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208496,1227,1129,I,LINCOLN,RI,"LINCOLN,RI",,0,,12711.3236493,3868018.68518,0.40117337254314844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208446,1228,1130,I,NORTH SMITHFIELD,RI,"NORTH SMITHFIELD,RI",,0,,27991.3454594,16471386.6688,0.3972909108626126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208499,1229,1133,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,5581.81133397,899802.78092,0.48375433889383446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2394,1230,1134,I,BELLINGHAM,MA,"BELLINGHAM,MA",BRMPO,1,SWAP,13658.6607244,6415704.69942,0.5679364482355145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4382,1231,1135,I,PLAINVILLE,MA,"PLAINVILLE,MA",SRPEDD,0,,11096.2387017,6089430.13847,0.7876509620730276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4379,1232,1136,I,PLAINVILLE,MA,"PLAINVILLE,MA",SRPEDD,0,,11990.7209091,8176295.02359,0.7084000723669335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,1233,2414,I,MALDEN,MA,"MALDEN,MA",BRMPO,1,ICC,2229.39709322,272386.851434,27.423672152231287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4092,1234,1138,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,10189.5447636,2429646.11844,0.5326343293580791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4112,1235,1139,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,5421.67938795,1415320.69844,0.4535397743419989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208430,1236,1140,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,2624.91867317,379844.752845,0.37499685771632063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208418,1237,1141,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,1935.37682484,206716.592415,0.3490861931779169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1238,4334,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,842.263689676,39698.5230797,11811.893991179619,138370.08713970464,304991.95932906074,4527039.536367059,11.714470790461778,25.820749793116125,383.2611044213204,264.45016205071107,17.816317357250124,8.082984845418625
208445,1239,1143,I,NORTH SMITHFIELD,RI,"NORTH SMITHFIELD,RI",,0,,10538.2225872,4940736.62386,0.38609998942236623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208474,1240,1144,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,6666.49827562,1349484.12511,0.4223409550941374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1241,4335,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,882.552670951,29515.6306699,27903.50966473226,353948.23888751987,905482.2354594688,14648735.777636832,12.684721138677451,32.45047832115269,524.9782537625232,362.23499509614095,22.390830041595354,8.752457585687441
208459,1242,1145,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,5429.64590453,954544.001347,0.4698587496811655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208477,1243,1146,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,3988.35362436,768762.575976,0.46917170333756547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208359,1244,2732,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,2576.69473599,254661.269245,0.32438025446392493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208471,1245,1147,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,4307.08047953,767939.649738,0.45606754669798005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2396,1246,1148,I,BELLINGHAM,MA,"BELLINGHAM,MA",BRMPO,1,SWAP,5863.16976861,1402143.57657,0.47217471323262145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2459,1247,1150,I,WRENTHAM,MA,"WRENTHAM,MA",BRMPO,1,SWAP,13954.3375512,9135479.28794,0.9848762788751222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1248,4336,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,773.929071435,37044.0904426,3775.95568729967,55425.51522960641,117960.02336239026,1889608.137673149,14.678539638594994,31.23977957663692,500.431756661975,345.29791209676273,21.555447907879472,10.128192350630545
2460,1249,1149,I,WRENTHAM,MA,"WRENTHAM,MA",BRMPO,1,SWAP,10813.7723397,6987283.77566,0.8234035610108653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4082,1250,1153,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,7921.16554806,3218161.98747,0.670731157541312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2421,1251,1151,I,FOXBOROUGH,MA,"FOXBOROUGH,MA",BRMPO,1,TRIC,16255.3007602,11496442.6715,0.9190905599696106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4004,1252,1152,I,MANSFIELD,MA,"MANSFIELD,MA",SRPEDD,0,,9269.89483748,4831488.38952,0.726661060794703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4378,1253,1154,I,PLAINVILLE,MA,"PLAINVILLE,MA",SRPEDD,0,,5580.59592325,1106599.60188,0.6393852419604976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1254,4337,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,695.176208195,26652.4490815,14426.228484581763,225051.41495169746,614105.7927324497,7684812.4839445045,15.60015600697191,42.56870001669418,532.6972667983013,367.56111409082786,29.372403011518983,10.764107644810617
4086,1255,1155,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,11577.8055196,7470860.13656,0.6348959718696203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4085,1256,1156,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,5658.65148578,739019.000786,0.5824071532237942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4077,1257,1157,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,3149.30393631,551275.490559,0.5576793435199434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3110,1258,5226,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2938.75744188,298436.03865,0.3086200121364192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4107,1259,1158,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,6853.440384,2463772.34147,0.5428058608913272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4122,1260,1159,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,8850.58263411,2869730.15668,0.46018925060528826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207396,1261,5504,I,MANCHESTER,NH,"MANCHESTER,NH",,0,,2545.92921064,369318.476781,0.2022627088795683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208327,1262,1160,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,5079.76852157,850692.336666,0.3629632687765018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
