lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Marine Industrial Park Central Parking Garage,"12 Drydock Ave Boston, MA 02210, US ",30 Min:  $10; 1 Hour:  $12; 1.5 Hours:  $13; 2 Hours:  $15; 3 Hours:  $20; Daily Max:  $30; Evening: In After 4pm $20; Sat-Sun:  $20; Event:  $25; ,Monthly:  $400,$400.00,https://www.parkme.com/lot/32195
 Seaport Parking,"181 Seaport Blvd Boston, MA 02210, US ",1 Hour:  $14; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $40; ,Monthly:  $130-$410,$410.00,https://www.parkme.com/lot/32202
 55 Park Ln Garage,"55 Park Ln Boston, MA 02210, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $22; 2 Hours:  $28; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $39; ,Monthly:  $205-$410,$410.00,https://www.parkme.com/lot/52879
 Pier 4,"200 Pier Four Blvd Boston, MA 02210, US ",30 Min:  $16; 1 Hour:  $30; Daily Max:  $40; Early Bird: In By 8am / Out After 1pm $27; Overnight: In After 5pm $15; Sat-Sun:  $15; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/99527
 South Boston Waterfront Transportation Center,"503 Congress St Boston, MA 02210, US ",1 Hour:  $9; 2 Hours:  $19; 3 Hours:  $25; 5 Hours:  $32; Daily Max:  $38; Early Bird: In By 9am / Out By 5pm $25; Event:  $21-$25; ,Monthly:  $100-$500,$500.00,https://www.parkme.com/lot/369726
 121 Seaport,"99 Autumn Ln Boston, MA 02210, US ",,,—,https://www.parkme.com/lot/332264
 401 Bremen St Parking,"401 Bremen St Boston, MA 02128, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26661
 Italian American War Veterans - Post #6,"60 Paris St Boston, MA 02128, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/26698
 71 Fargo St Parking,"71 Fargo St Boston, MA 02210, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/26950
 Massport Haul Rd Parking,"Massport Haul Rd Boston, MA 02210, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/80453
 2-98 Design Center Pl Parking,"2-98 Design Center Pl Boston, MA 02210, US ",Customer Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/80455
 Logan Office Center,"1 Harborside Dr Boston, MA 02128, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/99586
