lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Rite Aid,"710 E Broadway Boston, MA 02127, US ",Customers Only:  Free; ,Mon-Fri:  7am-10pm,$0.00,https://www.parkme.com/lot/26188
 11 Elkins St Parking,"11 Elkins St Boston, MA 02127, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26958
