lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 BOS - Central Parking,"1 Harborside Dr Boston, MA 02128, US ",1 Hour:  $8; 2 Hours:  $21; 3 Hours:  $26; 4 Hours:  $30; 7 Hours:  $34; 24 Hours:  $38; 30 Hours:  $57; 2 Days:  $76; Each Add'l Day:  $38; Each Add'l 6 Hours:  $19; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/99583
 Stanhope Garage,"194 Sumner St Boston, MA 02128, US ",6am-6pm:  $15; 6pm-6am:  $15; ,Mon-Fri:  6am-6pm,$15.00,https://www.parkme.com/lot/26690
 Embassy Suites,"207 Porter St Boston, MA 02128, US ",Valet:  $55; ,Mon-Sun:  24 Hours,$55.00,https://www.parkme.com/lot/256532
 BOS - Economy Parking Garage,"133 Prescott St Boston, MA 02128, US ",1 Hour:  $7; 2 Hours:  $18; 3 Hours:  $20; 4 Hours:  $23; 24 Hours:  $26; 30 Hours:  $39; 48 Hours:  $52; Each Add'l 6 Hours:  $13; ,,—,https://www.parkme.com/lot/99582
 BOS - Terminal E Lot 1,"1 Harborside Dr Boston, MA 02128, US ",1 Hour:  $8; 2 Hours:  $21; 3 Hours:  $26; 4 Hours:  $30; 7 Hours:  $34; 24 Hours:  $38; 30 Hours:  $57; 2 Days:  $76; Each Add'l 6 Hours:  $19; Each Add'l Day:  $38; ,,—,https://www.parkme.com/lot/99585
 BOS - Terminal B,"1 Harborside Dr Boston, MA 02128, US ",1 Hour:  $7; 2 Hours:  $19; 3 Hours:  $24; 4 Hours:  $28; 7 Hours:  $32; 24 Hours:  $35; 30 Hours:  $53; 48 Hours:  $70; Each Add'l 6 Hours:  $18; Each Add'l Day:  $35; ,,—,https://www.parkme.com/lot/99588
 East Boston Neighborhood Heath Center,"11 Henry St Boston, MA 02128, US ",3 Hours: Visitors Only Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/24060
 333 Border St Parking,"333 Border St Boston, MA 02128, US ",Customers Only:  Free; ,,$0.00,https://www.parkme.com/lot/26672
 East Boston Neighborhood Health Center,"95 Bremen St Boston, MA 02128, US ",3 Hours: Visitors Only Free; ,,$0.00,https://www.parkme.com/lot/115636
 Hilton Boston Logan Airport,"Logan Memorial Way Boston, MA 02128, US ",Daily Max:  $52; Valet:  $58; ,Mon-Sun:  24 Hours,$52.00,https://www.parkme.com/lot/190388
 401 Bremen St Parking,"401 Bremen St Boston, MA 02128, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26661
 Italian American War Veterans - Post #6,"60 Paris St Boston, MA 02128, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/26698
 Logan Office Center,"1 Harborside Dr Boston, MA 02128, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/99586
