lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Lot #5,"25 Norfolk St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91560
 Lot #9,"9 Pleasant St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91564
 Lot #8,"375 Green St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91566
 Lot #4,"96 Bishop Allen Dr Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91675
 Green Street Garage,"260 Green St Cambridge, MA 02139, US ",1 Hour:  $4; 2 Hours:  $8; 3 Hours:  $10; 4 Hours:  $12; 5 Hours:  $16; 8 Hours:  $18; 9 Hours:  $20; 12 Hours:  $22; 24 Hours:  $30; ,Mon-Sun:  24 Hours,$4.00,https://www.parkme.com/lot/32211
 Central Square,"438 Green St Cambridge, MA 02139, US ",30 Min: Mon-Fri; 7am-5pm $7; 1 Hour: Mon-Fri; 7am-5pm $13; Max: Mon-Fri; 7am-5pm $19; Evening: Mon-Fri; 5pm-7am $10; Sat-Sun:  $10; 24 Hours:  $38; ,Monthly:  $240,$13.00,https://www.parkme.com/lot/53523/central-square-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
 47 Erie St Garage,"47 Erie St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $15; 2 Hours:  $23; 3 Hours:  $26; 4 Hours:  $29; 12 Hours:  $31; 24 Hours:  $37; ,Mon-Fri:  7am-7pm,$15.00,https://www.parkme.com/lot/218537
 55 Franklin Street Garage,"55 Franklin St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Max: Out By 5am $40; Evening: In After 5pm / Out By 8am $12; ,Monthly:  $165-$325,$17.00,https://www.parkme.com/lot/32208
 80 Landsdowne Street,"80 Landsdowne St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Daily Max:  $45; ,Mon-Sun:  24 Hours,$17.00,https://www.parkme.com/lot/32212
 Le Meridien Cambridge,"60 Green St Cambridge, MA 02139, US ",Daily Max:  $40; ,Mon-Sun:  24 Hours,$40.00,https://www.parkme.com/lot/113875
 C-1,"33 Harry Agganis Way Boston, MA 02215, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/24261
 Lot B: Langsam Garage,"142 Gardner St Boston, MA 02215, US ",Daily Max:  $12; Max: With Validation Free; ,Mon-Sun:  7am-11pm,—,https://www.parkme.com/lot/27586
 MIT West Garage,"125 Vassar St Cambridge, MA 02139, US ",2 Hours:  $6; 3 Hours:  $12; 4 Hours:  $17; Daily Max:  $22; ,,—,https://www.parkme.com/lot/91552
 City of Cambridge - Lot 6,"38 Bishop Allen Dr Cambridge, MA 02139, US ",Each Hour: 4 Hour Max $1; ,,—,https://www.parkme.com/lot/91556/city-of-cambridge-lot-6-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
 Agganis Arena C-2,"Harry Agganis Way Boston, MA 02215, US ",Each Hour:  $2; Daily Max:  $17; Event:  $10-$40; ,Mon-Sun:  7am-11pm,—,https://www.parkme.com/lot/189318
 Agganis Arena A,"Harry Agganis Way Boston, MA 02215, US ",Each Hour:  $2; Daily Max:  $17; Event:  $10-$40; ,Mon-Sun:  7am-11pm,—,https://www.parkme.com/lot/199728
 Sourcing & Procurement,"975 Commonwealth Ave Boston, MA 02215, US ",Weekly:  $40; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/201571/sourcing-procurement-boston-ma?entry-date=2022-01-24T13:33&duration=60
 16 Wadsworth St Parking,"16 Wadsworth St Boston, MA 02134, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338838
 John & Nick's,"975 Massachusetts Ave Cambridge, MA 02139, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/91569
 M.I.T. Dept. of Facilities,"169 Vassar St Cambridge, MA 02139, US ",Guests Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/91718
 Super 88 Market,"1 Brighton Ave Boston, MA 02134, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/327678
 321 Broadway Parking,"321 Broadway Cambridge, MA 02139, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182090
