lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 2 Pearl St Parking,"2 Pearl St Boston, MA 02125, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27131
 1010 Massachusetts Ave Parking,"133 Magazine St Boston, MA 02119, US ",30 Min:  $2; 1 Hour:  $3; 2 Hours:  $4; Daily Max:  $5; ,,$3.00,https://www.parkme.com/lot/80481
 Savin Hill,"14 S Sydney St Boston, MA 02125, US ",Max: Mon-Fri $7.50; Max: Sat-Sun $2.50; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/215154
 Murphy Funeral Home,"1020 Dorchester Ave Boston, MA 02125, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27139
 510 Southampton St Parking,"510 Southampton St Boston, MA 02127, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/80501
 7 Allstate Rd Parking,"7 Allstate Rd Boston, MA 02125, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/376980
 7 Allstate Rd Parking,"7 Allstate Rd Boston, MA 02118, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/376981
 5 Allstate Rd Parking,"5 Allstate Rd Boston, MA 02125, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/377471
 566 Dorchester Ave Parking,"566 Dorchester Ave Boston, MA 02127, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1181834
 187 E Cottage St Parking,"711 Columbia Rd Boston, MA 02125, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182279
 Courtyard Marriott,"63R Boston St Boston, MA 02125, US ",24 Hours:  $20; ,Mon-Sun:  24 Hours,$20.00,https://www.parkme.com/lot/194032
 Church in Boston,"156 E Cottage St Boston, MA 02125, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26995
