lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Chestnut Hill,"468 Hammond St Newton, MA 02467, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/215087
 132 Beaconsfield Rd Parking,"132 Beaconsfield Rd Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338593
 8 Chiswick Rd Parking,"8 Chiswick Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/372916/8-chiswick-rd?entry-date=2022-01-24T13:33&duration=60
 197 Rawson Road Brookline Parking,"197 Rawson Road Brookline Brookline, MA 02445, US ",,,—,https://www.parkme.com/lot/376618
 Yusuf Mosque,"186 Chestnut Hill Ave Boston, MA 02135, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/188148
 11 Embassy Rd Parking,"11 Embassy Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/202172
