lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 D Lot,"68 Butler St Boston, MA 02210, US ",1 Hour:  $12; 2 Hours:  $18; 3 Hours:  $20; Max: Out By 7am $25; Evening: In After 7pm / Out By 7am $15; ,Monthly:  $200-$295,$295.00,https://www.parkme.com/lot/213569
 40 Beach St Garage,"40 Beach St Boston, MA 02111, US ",30 Min:  $5; 1 Hour:  $12; 1.5 Hours:  $18; 2 Hours:  $22; 12 Hours:  $24; 24 Hours:  $27; Early Bird: Mon-Fri; In Between 4am-9:30am / Out By 6pm $17; Evening: Mon-Thu; In After 5pm / Out By 5am $13; Evening: Fri; In After 5pm / Out By 5am $14; 12 Hours: Sat-Sun $14; 24 Hours: Sat-Sun $19; ,Monthly:  $165-$335,$335.00,https://www.parkme.com/lot/75578
 500 Harrison Ave Parking,"500 Harrison Ave Boston, MA 02118, US ",2 Hours:  $9; Each Add'l Hour:  $3; Daily Max:  $24; ,Monthly:  $300-$350,$350.00,https://www.parkme.com/lot/80413
 363 Congress St Parking,"363 Congress St Boston, MA 02210, US ",,Monthly:  $350,$350.00,https://www.parkme.com/lot/332494
 AVA Theater District,"45 Stuart St Boston, MA 02116, US ",4 Hours:  $15; 8 Hours:  $18; 12 Hours:  $34; 24 Hours:  $43; ,Monthly:  $385,$385.00,https://www.parkme.com/lot/32163
 660 Washington St Garage,"660 Washington St Boston, MA 02111, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $21; 2 Hours:  $23; 12 Hours:  $27; 24 Hours:  $31; Early Bird: Mon-Fri; In Between 5am-9am / Out By 7pm $19; Evening: Mon-Fri; 6pm-5am $17; 12 Hours: Sat-Sun; Out By 5am $17; Sat-Sun:  $20; ,Monthly:  $335-$395,$395.00,https://www.parkme.com/lot/15258
 Boston Common,"16 Charles St Boston, MA 02108, US ",1 Hour: Mon-Fri; In Between 6am-4pm $10; 2 Hours: Mon-Fri; In Between 6am-4pm $18; 3 Hours: Mon-Fri; In Between 6am-4pm $24; 10 Hours: Mon-Fri; In Between 6am-4pm $28; 24 Hours: Mon-Fri; In Between 6am-4pm $32; 1 Hour: Mon-Fri; In Between 4pm-6am / Out By 8am $10; 3 Hours: Mon-Fri; In Between 4pm-6am / Out By 8am $14; Max: Mon-Fri; In Between 4pm-6am / Out By 8am $18; 1 Hour: Sat-Sun $10; 3 Hours: Sat-Sun $14; Max: Sat-Sun $18; Max: With Validation $16; ,Monthly:  $150-$400,$400.00,https://www.parkme.com/lot/32172
 Marine Industrial Park Central Parking Garage,"12 Drydock Ave Boston, MA 02210, US ",30 Min:  $10; 1 Hour:  $12; 1.5 Hours:  $13; 2 Hours:  $15; 3 Hours:  $20; Daily Max:  $30; Evening: In After 4pm $20; Sat-Sun:  $20; Event:  $25; ,Monthly:  $400,$400.00,https://www.parkme.com/lot/32195
 Ritz Carlton Boston Common,"47 Boylston St Boston, MA 02116, US ",30 Min: Mon-Fri; 5am-4:59pm $8; 1 Hour: Mon-Fri; 5am-4:59pm $16; 1.5 Hours: Mon-Fri; 5am-4:59pm $24; 2 Hours: Mon-Fri; 5am-4:59pm $30; 12 Hours: Mon-Fri; 5am-4:59pm $36; Max: Mon-Fri; 5am-4:59pm $38; 1 Hour: Mon-Fri; 5pm-4:59am $5; 1.5 Hours: Mon-Fri; 5pm-4:59am $15; Max: Mon; 5pm-4:59am $25; Max: Tue-Fri; 5pm-4:59am $20; Early Bird: Mon-Fri; In Between 5am-9:30am / Out Between 1pm-6pm $19; Valet:  $65; ,Monthly:  $400,$400.00,https://www.parkme.com/lot/80307
 Ink Block Underground,"90 Traveler St Boston, MA 02118, US ",Each 30 Min:  $2.50; 24 Hours:  $20; Early Bird: In Between 5am-10am; 10 Hours $18; Evening: Mon-Fri; In After 5pm / Out By 8am; 10 Hours $10; 10 Hours: Sat-Sun $10; ,Monthly:  $175-$400,$400.00,https://www.parkme.com/lot/250577
 Intercontinental Boston,"500 Atlantic Ave Boston, MA 02210, US ",1 Hour:  $22; 2 Hours:  $29; 12 Hours:  $36; 24 Hours:  $44; Early Bird: In Between 5am-9am; 12 Hours $27; Oversize Add'l:  $15; ,Monthly:  $339-$409,$409.00,https://www.parkme.com/lot/32106
 Seaport Parking,"181 Seaport Blvd Boston, MA 02210, US ",1 Hour:  $14; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $40; ,Monthly:  $130-$410,$410.00,https://www.parkme.com/lot/32202
 55 Park Ln Garage,"55 Park Ln Boston, MA 02210, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $22; 2 Hours:  $28; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $39; ,Monthly:  $205-$410,$410.00,https://www.parkme.com/lot/52879
 73 Tremont Pl Garage,"73 Tremont Pl Boston, MA 02108, US ",30 Min:  $13; 1 Hour:  $18; 1.5 Hours:  $26; 2 Hours:  $32; Daily Max:  $38; Sat-Sun:  $10; Oversize: 2 Hour Minimum $45; ,Monthly:  $440,$440.00,https://www.parkme.com/lot/75596
 South Station Parking,"2001 S Station Connector Boston, MA 02210, US ",1 Hour:  $10; 2 Hours:  $20; 24 Hours:  $25; ,Monthly:  $445,$445.00,https://www.parkme.com/lot/52972
 Chinatown,"85 Essex St Boston, MA 02111, US ",Mon-Fri: 6am-5pm $24; Sat-Sun: 8am-5pm $15; Evening: Sun-Thu; In After 5pm $12; Evening: Fri-Sat; In After 5pm $15; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/24158
 321 Congress St Parking,"321 Congress St Boston, MA 02210, US ",1 Hour:  $17; Daily Max:  $32; Early Bird: Mon-Fri; In By 9am / Out By 3am $28; Evening: Mon-Fri; In After 5pm / Out By 3am $17; Sat-Sun:  $17; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/24331
 Pier 4,"200 Pier Four Blvd Boston, MA 02210, US ",30 Min:  $16; 1 Hour:  $30; Daily Max:  $40; Early Bird: In By 8am / Out After 1pm $27; Overnight: In After 5pm $15; Sat-Sun:  $15; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/99527
 Watermark Seaport,"44 Autumn Ln Boston, MA 02210, US ",10 Hours:  $20; 20 Hours:  $40; 24 Hours:  $60; Early Bird: In Before 9am $28; Evening: In After 5pm $17; 12 Hours: Sat-Sun $14; ,Monthly:  $465,$465.00,https://www.parkme.com/lot/232629
 45 Province St Garage,"45 Province St Boston, MA 02108, US ",30 Min:  $17; 1 Hour:  $20; 2 Hours:  $29; 12 Hours:  $39; Evening: Mon-Fri; In After 4pm / Out By 3am $18; Sat-Sun: Out By 12am $18; Event:  $30; ,Monthly:  $475,$475.00,https://www.parkme.com/lot/15206
 Independence Wharf,"470 Atlantic Ave Boston, MA 02210, US ",1 Hour:  $22; 1.5 Hours:  $30; Daily Max:  $39; ,Monthly:  $475,$475.00,https://www.parkme.com/lot/26154
 One Seaport,"75 Sleeper St Boston, MA 02210, US ",30 Min:  $16; 1 Hour:  $31; 24 Hours:  $39; Each Add'l 24 Hours:  $49; Evening: Sun-Thu; In After 5pm / Out By 5am $25; Evening: Fri-Sat; In After 5pm / Out By 5am $30; ,Monthly:  $385-$475,$475.00,https://www.parkme.com/lot/326834
 Stillings Garage,"11 Stillings St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; Daily Max:  $25; Early Bird: In By 8am / Out By 6pm $20; Evening: Mon-Fri; In After 5pm $10; Sat-Sun:  $16; Max: With Validation $23; ,Monthly:  $150-$480,$480.00,https://www.parkme.com/lot/32201
 745 Atlantic Ave Garage,"179 South St Boston, MA 02111, US ",30 Min:  $9; 1 Hour:  $15; 1.5 Hours:  $22; 2 Hours:  $28; Daily Max:  $35; ,Monthly:  $490,$490.00,https://www.parkme.com/lot/32125
 Farnsworth Garage,"17 Farnsworth St Boston, MA 02210, US ",30 Min:  $11; 1 Hours:  $16; 1.5 Hours:  $21; 2 Hours:  $26; Daily Max:  $32; Max: With Validation $24; ,Monthly:  $500,$500.00,https://www.parkme.com/lot/15346
 South Boston Waterfront Transportation Center,"503 Congress St Boston, MA 02210, US ",1 Hour:  $9; 2 Hours:  $19; 3 Hours:  $25; 5 Hours:  $32; Daily Max:  $38; Early Bird: In By 9am / Out By 5pm $25; Event:  $21-$25; ,Monthly:  $100-$500,$500.00,https://www.parkme.com/lot/369726
 1 Devonshire Place Boston,"1 Devonshire Pl Boston, MA 02109, US ",20 Min:  $9; 40 Min:  $20; 1 Hour:  $28; 80 Min:  $35; Daily Max:  $43; ,Monthly:  $510,$510.00,https://www.parkme.com/lot/80308
 Atlantic Wharf,"280 Congress St Boston, MA 02210, US ",30 Min:  $12; 1 Hour:  $22; 1.5 Hours:  $32; 2 Hours:  $40; 24 Hours:  $42; Evening: Mon-Fri; 5pm-3am $12; Sat-Sun:  $12; Mon-Fri: In After 5pm; With Validation $9; Sat-Sun: With Validation $9; ,Monthly:  $130-$510,$510.00,https://www.parkme.com/lot/187478
 Garage at Post Office Square,"130 Congress St Boston, MA 02110, US ",30 Min: 5am-4pm $9; 1 Hour: 5am-4pm $16; 1.5 Hours: 5am-4pm $26; 2 Hours: 5am-4pm $31; 2.5 Hours: 5am-4pm $38; 5am-4pm:  $40; Overnight: In By 4pm / Out By 8am $9; Sat-Sun:  $9; ,Monthly:  $515,$515.00,https://www.parkme.com/lot/15221
 125 Lincoln St Garage,"88 Beach St Boston, MA 02111, US ",,Monthly:  $515,$515.00,https://www.parkme.com/lot/26158
 101 Arch St Garage,"86 Hawley St Boston, MA 02110, US ",Each 30 Min:  $10; Daily Max:  $41; ,Monthly:  $500-$520,$520.00,https://www.parkme.com/lot/32110
 Rowes Wharf,"294 Atlantic Ave Boston, MA 02110, US ",20 Min:  $10; 40 Min:  $19; 1 Hour:  $28; 80 Min:  $37; 4 Hours:  $40; Daily Max:  $42; Early Bird: Mon-Fri; In Between 5am-9am / Out After 2pm $23; 20 Min: Mon-Fri; In After 5pm $6; 40 Min: Mon-Fri; In After 5pm $14; Evening: Mon-Fri; In After 5pm / Out By 5am $18; 20 Min: Sat-Sun $6; 40 Min: Sat-Sun $14; Sat-Sun:  $18; ,Monthly:  $520,$520.00,https://www.parkme.com/lot/52907
 225 Franklin St Garage,"94 Pearl St Boston, MA 02110, US ",20 Min:  $9; 40 Min:  $18; 1 Hour:  $26; 80 Min:  $34; Max: Out By 5am $43; Early Bird: In Between 5am-9am / Out By 7pm $33; Evening: In After 5pm / Out By 5am $10; Sat-Sun:  $10; ,Monthly:  $510-$520,$520.00,https://www.parkme.com/lot/75555
 Motor Mart Garage,"201 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $20; 10 Hours:  $30; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-10am; 12 Hours $24; 1 Hour: Mon-Fri; In After 3pm $10; 2 Hours: Mon-Fri; In After 3pm $18; 10 Hours: Mon-Fri; In After 3pm $25; 24 Hours: Mon-Fri; In After 3pm $40; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $18; 10 Hours: Sat-Sun $25; 24 Hours: Sat-Sun $40; 3 Hours: In After 5pm; With Validation $10; ,Monthly:  $173-$525,$525.00,https://www.parkme.com/lot/26170
 Revere,"200 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $22; 5 Hours:  $32; 10 Hours:  $36; 24 Hours:  $42; 3 Hours: In After 3pm; With Validation $10; ,Monthly:  $173-$525,$525.00,https://www.parkme.com/lot/32158
 Two Financial Center,"237 Essex St Boston, MA 02110, US ",20 Min:  $10; 40 Min:  $19; 80 Min:  $26; Daily Max:  $43; Sat-Sun:  $12; ,Monthly:  $530,$530.00,https://www.parkme.com/lot/110326
 Necco Street Garage,"10 Necco St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $19; Daily Max:  $30; Sat-Sun:  $8; Early Bird: In By 8am / Out By 6pm $26; Evening: In After 5pm / Out By 1am; With Validation $5; ,Monthly:  $150-$590,$590.00,https://www.parkme.com/lot/26186
