lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Brookline Place,"2 Pearl St Brookline, MA 02445, US ",15 Min:  Free; 30 Min:  $3; 1 Hour:  $6; 2 Hours:  $9; 3 Hours:  $12; 4 Hours:  $15; 5 Hours:  $18; 6 Hours:  $21; 7 Hours:  $23; 24 Hours:  $25; ,Mon-Sun:  24 Hours,$6.00,https://www.parkme.com/lot/45813
 375 Longwood Parking Garage,"101 Pilgrim Rd Boston, MA 02215, US ",30 Min:  $5; 1 Hour:  $7; 2 Hours:  $9; 3 Hours:  $10; 4 Hours:  $12; 5 Hours:  $18; 6 Hours:  $25; 24 Hours:  $31; Evening: In After 3:30pm / Out By 8:30am $8; ,Mon-Sun:  24 Hours,$7.00,https://www.parkme.com/lot/52921
 Brigham and Women's Hospital,"75 Francis St Boston, MA 02115, US ",1 Hour:  $8; 2 Hours:  $10; 3 Hours:  $11; 4 Hours:  $13; 5 Hours:  $14; 6 Hours:  $16; 7 Hours:  $18; 24 Hours:  $22; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/80484
 Courtyard Boston Brookline,"40 Webster St Brookline, MA 02446, US ",Each Hour:  $8; Daily Max:  $35; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/194037
 Brigham and Women's Hospital,"75 Francis St Boston, MA 02115, US ",1 Hour:  $9; 2 Hours:  $11; 3 Hours:  $12; 4 Hours:  $14; 5 Hours:  $15; 6 Hours:  $16; 7 Hours:  $18; 24 Hours:  $22; ,Mon-Sun:  24 Hours,$9.00,https://www.parkme.com/lot/197395
 690 Huntington Ave Parking,"690 Huntington Ave Boston, MA 02115, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $25; Overnight: 6pm-6am $25; Event:  $20; ,Mon-Fri:  6am-6pm,$10.00,https://www.parkme.com/lot/15296/690-huntington-ave?entry-date=2022-01-24T13:33&duration=60
 Galleria Garage,"350 Longwood Ave Boston, MA 02115, US ",1 Hour:  $10; 2 Hours:  $13; 3 Hours:  $16; 4 Hours:  $18; 5 Hours:  $26; 6 Hours:  $32; 8 Hours:  $36; 10 Hours:  $38; 24 Hours:  $40; Max: With Validation $25; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/80491/galleria-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 The Carl J. Shapiro Clinical Center,"98 Binney St Boston, MA 02115, US ",1 Hour:  $13; 4 Hours:  $25; 6 Hours:  $35; 24 Hours:  $45; ,Mon-Fri:  5am-11pm,$13.00,https://www.parkme.com/lot/1203476
 25 Calumet St Parking,,,,$26.00,http://www.parkme.com/map/partner_redirect?url=https%3A%2F%2Fwww.parkwhiz.com%2Fp%2F9652%3Fpwa%3D4d19400%26start_date%3D01%2F24%2F2022%26end_date%3D01%2F24%2F2022%26start_time%3D13%3A33%26end_time%3D14%3A33&name=25+Calumet+St+Parking&show=true
 C-1,"33 Harry Agganis Way Boston, MA 02215, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/24261
 Lot N - Granby Lot,"665 Commonwealth Ave Boston, MA 02215, US ",Each 30 Min:  $3; Evening: In After 3pm $12; Sat:  $12; Daily Max:  $17; Event:  $30; ,,—,https://www.parkme.com/lot/24268
 25 Pilgrim Road,"25 Pilgrim Rd Boston, MA 02215, US ",Weekly:  $20-$40; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/24410
 Lot R,"766 Commonwealth Ave Brookline, MA 02446, US ",Events:  $20; With Validation:  Free; ,,—,https://www.parkme.com/lot/101354
 Lot K,"11 Hinsdale Mall Boston, MA 02215, US ",Daily Max:  $8-$12; Weekly:  $20-$40; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/110734
 Longwood Tower Garage,"20 Chapel St Brookline, MA 02446, US ",Event:  $25.88; ,,—,https://www.parkme.com/lot/166429/longwood-tower-garage-brookline-ma?entry-date=2022-01-24T13:33&duration=60
 Agganis Arena C-2,"Harry Agganis Way Boston, MA 02215, US ",Each Hour:  $2; Daily Max:  $17; Event:  $10-$40; ,Mon-Sun:  7am-11pm,—,https://www.parkme.com/lot/189318
 Agganis Arena A,"Harry Agganis Way Boston, MA 02215, US ",Each Hour:  $2; Daily Max:  $17; Event:  $10-$40; ,Mon-Sun:  7am-11pm,—,https://www.parkme.com/lot/199728
 Sourcing & Procurement,"975 Commonwealth Ave Boston, MA 02215, US ",Weekly:  $40; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/201571/sourcing-procurement-boston-ma?entry-date=2022-01-24T13:33&duration=60
 1019 Commonwealth Avenue Parking,"1019 Commonwealth Avenue Brookline, MA 02446, US ",,,—,https://www.parkme.com/lot/205248
 110 Babcock St Parking,"110 S Babcock St Brookline, MA 02446, US ",,Monthly:  $185-$200,—,https://www.parkme.com/lot/211054
 175-185 Freeman Street Parking,"175-185 Freeman St Brookline, MA 02446, US ",,Monthly:  $175,—,https://www.parkme.com/lot/211115/175-185-freeman-street?entry-date=2022-01-24T13:33&duration=60
 222-230 Babcock St Parking,"222-230 Babcock St Brookline, MA 02446, US ",,Monthly:  $175-$200,—,https://www.parkme.com/lot/213535/222-230-babcock-st?entry-date=2022-01-24T13:33&duration=60
 237 Fuller St Parking,"237 Fuller St Brookline, MA 02446, US ",,Monthly:  $175,—,https://www.parkme.com/lot/213546
 26 Allston St Parking,"26 Allston St Boston, MA 02134, US ",,Monthly:  $150,—,https://www.parkme.com/lot/213552
 19 Winchester St Parking,"50 Centre St Brookline, MA 02446, US ",,Monthly:  $250,—,https://www.parkme.com/lot/213576
