lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Forest Hills,"117 Hyde Park Ave Boston, MA 02130, US ",Mon-Fri:  $9; Sat-Sun:  $3; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/215103
 Roslindale Village,"1 Belgrade Ave Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,—,https://www.parkme.com/lot/215144
 Roslindale Village,"790 South St Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,—,https://www.parkme.com/lot/215152
 Roslindale,"8 Cohasset St Boston, MA 02131, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27377
 The Cooperative Bank,"40 Belgrade Ave Boston, MA 02131, US ",Customers Only:  Free; ,Mon-Tue:  8:30am-4:30pm,$0.00,https://www.parkme.com/lot/27395
 1436-38 Centre St Parking,"1436-38 Centre St Boston, MA 02131, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1184315
