lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 26 Allston St Parking,"26 Allston St Boston, MA 02134, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/213552
 518-524 Cambridge St Parking,"13 Imrie Rd Boston, MA 02134, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/213585
 The Courtyard On North Beacon 140-154,"140-154 N Beacon St Boston, MA 02135, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/214269
 237 Fuller St Parking,"237 Fuller St Brookline, MA 02446, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/213546
 19 Winchester St Parking,"50 Centre St Brookline, MA 02446, US ",,Monthly:  $250,$250.00,https://www.parkme.com/lot/213576
 Chestnut Hill,"468 Hammond St Newton, MA 02467, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/215087
 79 Chestnut St Parking,"79 Chestnut St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/331169
 18 Griggs Rd Parking,"18 Griggs Rd Brookline, MA 02446, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/336176
 132 Beaconsfield Rd Parking,"132 Beaconsfield Rd Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338593
 16 Wadsworth St Parking,"16 Wadsworth St Boston, MA 02134, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338838
 8 Chiswick Rd Parking,"8 Chiswick Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/372916
 197 Rawson Road Brookline Parking,"197 Rawson Road Brookline Brookline, MA 02445, US ",,,—,https://www.parkme.com/lot/376618
 Yusuf Mosque,"186 Chestnut Hill Ave Boston, MA 02135, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/188148
 11 Embassy Rd Parking,"11 Embassy Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/202172
 Longwood Plastic Surgery,"235 Cypress St Brookline, MA 02445, US ",Visitors Only:  Free; ,Mon-Fri:  8:30am-5pm,—,https://www.parkme.com/lot/213541
