lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Northampton Square,"35 Northampton St Boston, MA 02118, US ",2 Hours:  Free; 3 Hours:  $6; 5 Hours:  $9; 7 Hours:  $16; 24 Hours:  $35; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27034
 365 Albany St Parking,"365 Albany St Boston, MA 02118, US ",Each Hour:  $2.50; Daily Max:  $20; ,Mon-Sun:  24 Hours,$2.50,https://www.parkme.com/lot/26821
 Kenmore Lot,"73 Brookline Ave Boston, MA 02215, US ",2 Hours:  $5; Max: 6am-6pm $10; Event:  $10-$55; ,Mon-Tue:  5am-10pm,$5.00,https://www.parkme.com/lot/27559/kenmore-lot-boston-ma?entry-date=2022-01-24T13:33&duration=60
 Landmark Center,"445 Park Dr Boston, MA 02215, US ",10 Min:  Free; 30 Min:  $5; 1 Hour:  $7; 1.5 Hours:  $10; 2 Hours:  $12; 2.5 Hours:  $15; 18 Hours:  $28; 30 Min: With Validation $2; 1 Hour: With Validation $3; 1.5 Hours: With Validation $6; 2 Hours: With Validation $9; 2.5 Hours: With Validation $13; 18 Hours: With Validation $24; Event: 18 Hours $50-$55; ,Monthly:  $145-$385,$7.00,https://www.parkme.com/lot/80426/landmark-center-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 Greenhouse Apartments,"2 Cumberland St Boston, MA 02115, US ",1 Hour:  $8; 3 Hours:  $15; 10 Hours:  $22; 24 Hours:  $26; ,Monthly:  $260,$8.00,https://www.parkme.com/lot/52855/greenhouse-apartments-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
 Brigham and Women's Hospital,"75 Francis St Boston, MA 02115, US ",1 Hour:  $8; 2 Hours:  $10; 3 Hours:  $11; 4 Hours:  $13; 5 Hours:  $14; 6 Hours:  $16; 7 Hours:  $18; 24 Hours:  $22; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/80484
 86-96 Avenue Louis Pasteur Garage,"86-96 Avenue Louis Pasteur Boston, MA 02115, US ",2 Hours: Mon-Fri; With Validation $2.70; 4 Hours: Mon-Fri; With Validation $10.65; 5 Hours: Mon-Fri; With Validation $14.35; Max: Mon-Fri; With Validation $19.15; 2 Hours: Sat-Sun; With Validation $7.05; 4 Hours: Sat-Sun; With Validation $8.65; Max: Sat-Sun; With Validation $14.35; 1 Hour:  $8; 2 Hours:  $12; 3 Hours:  $17; 4 Hours:  $22; 5 Hours:  $27; Daily Max:  $30; Early Bird: In Between 5am-7am / Out By 6pm $28; ,Monthly:  $300,$8.00,https://www.parkme.com/lot/213618/86-96-avenue-louis-pasteur?entry-date=2022-01-24T13:33&duration=60
 500 Harrison Ave Parking,"500 Harrison Ave Boston, MA 02118, US ",2 Hours:  $9; Each Add'l Hour:  $3; Daily Max:  $24; ,Monthly:  $300-$350,$9.00,https://www.parkme.com/lot/80413
 Brigham and Women's Hospital,"75 Francis St Boston, MA 02115, US ",1 Hour:  $9; 2 Hours:  $11; 3 Hours:  $12; 4 Hours:  $14; 5 Hours:  $15; 6 Hours:  $16; 7 Hours:  $18; 24 Hours:  $22; ,Mon-Sun:  24 Hours,$9.00,https://www.parkme.com/lot/197395
 33 Essex St Parking,"33 Essex St Boston, MA 02111, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $30; Mon-Sat: 6pm-6am $22; Sun: 6pm-6am Free; Event:  $22; ,Mon-Fri:  6am-2am,$10.00,https://www.parkme.com/lot/15268
 690 Huntington Ave Parking,"690 Huntington Ave Boston, MA 02115, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $25; Overnight: 6pm-6am $25; Event:  $20; ,Mon-Fri:  6am-6pm,$10.00,https://www.parkme.com/lot/15296/690-huntington-ave?entry-date=2022-01-24T13:33&duration=60
 47 Lagrange St Parking,"47 Lagrange St Boston, MA 02116, US ",30 Min:  $5; 1 Hour:  $10; 1.5 Hours:  $15; 2 Hours:  $20; Daily Max:  $25; Early Bird: Mon-Fri; In By 9am / Out By 7pm $17; Evening: Mon-Fri; 4pm-6am $25; Sat-Sun:  $25; Oversize:  $30; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/24171
 Queensberry Street Garage,"59 Queensberry St Boston, MA 02215, US ",1 Hour:  $10; 3 Hours:  $15; Max: In By 5pm $15; Daily Max:  $20; Event:  $60; ,Monthly:  $350,$10.00,https://www.parkme.com/lot/26179
 Deaconess Garage,"60 Kilmarnock St Boston, MA 02215, US ",1 Hour:  $10; 5 Hours:  $15; Max: In By 5pm $40; 24 Hours:  $20; Event:  $60; ,Monthly:  $350,$10.00,https://www.parkme.com/lot/26180
 The Metropolitan,"28 Ash St Boston, MA 02111, US ",1 Hour:  $10; 2 Hours:  $15; 14 Hours:  $23; 24 Hours:  $32; 12 Hours: Sat-Sun $12; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/32124
 Boston Common,"16 Charles St Boston, MA 02108, US ",1 Hour: Mon-Fri; In Between 6am-4pm $10; 2 Hours: Mon-Fri; In Between 6am-4pm $18; 3 Hours: Mon-Fri; In Between 6am-4pm $24; 10 Hours: Mon-Fri; In Between 6am-4pm $28; 24 Hours: Mon-Fri; In Between 6am-4pm $32; 1 Hour: Mon-Fri; In Between 4pm-6am / Out By 8am $10; 3 Hours: Mon-Fri; In Between 4pm-6am / Out By 8am $14; Max: Mon-Fri; In Between 4pm-6am / Out By 8am $18; 1 Hour: Sat-Sun $10; 3 Hours: Sat-Sun $14; Max: Sat-Sun $18; Max: With Validation $16; ,Monthly:  $150-$400,$10.00,https://www.parkme.com/lot/32172
 Galleria Garage,"350 Longwood Ave Boston, MA 02115, US ",1 Hour:  $10; 2 Hours:  $13; 3 Hours:  $16; 4 Hours:  $18; 5 Hours:  $26; 6 Hours:  $32; 8 Hours:  $36; 10 Hours:  $38; 24 Hours:  $40; Max: With Validation $25; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/80491/galleria-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 Dartmouth Street Garage,"126 Dartmouth St Boston, MA 02116, US ",1 Hour:  $11; 2 Hours:  $20; 10 Hours:  $34; 24 Hours:  $42; Early Bird: Mon-Fri; In Between 5am-9am / Out Between 1pm-8pm $20; Evening: Mon-Fri; In After 5pm / Out By 8am $10; ,Mon-Sun:  24 Hours,$11.00,https://www.parkme.com/lot/15306/dartmouth-street-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 131 Dartmouth St Garage,"131 Dartmouth St Boston, MA 02116, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $32; 10 Hours:  $34; 24 Hours:  $38; Early Bird: Mon-Fri; In Between 5am-9am / Out By 8pm $20; Evening: 5pm-8am $10; ,Monthly:  $150-$425,$11.00,https://www.parkme.com/lot/52756/131-dartmouth-st?entry-date=2022-01-24T13:33&duration=60
 Christian Science Plaza,"235 Huntington Ave Boston, MA 02115, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $30; 12 Hours:  $34; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $25; Evening: Mon-Fri; In After 5pm / Out By 8am $15; Event:  $25; 12 Hours: Sat-Sun $20; ,Monthly:  $390-$450,$11.00,https://www.parkme.com/lot/168561/christian-science-plaza-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
 Tufts Medical Center,"Nassau St Boston, MA 02111, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $26; 7 Hours:  $29; 24 Hours:  $36; 2.5 Hours: With Validation $9; 5.5 Hours: With Validation $11; 6.5 Hours: With Validation $12; 7.5 Hours: With Validation $16; 24 Hours: With Validation $21; ,Mon-Fri:  5:45am-6pm,$11.00,https://www.parkme.com/lot/197421
 Fenway,"16 Kilmarnock St Boston, MA 02215, US ",1 Hour:  $12; 90 Min:  $14; 2 Hours:  $20; 150 Min:  $24; 3 Hours:  $32; Daily Max:  $38; Evening: Mon-Fri; In After 4pm / Out By 8am $10; Sat-Sun:  $10; Event:  $55; ,Monthly:  $405,$12.00,https://www.parkme.com/lot/15290/fenway-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 Copley Place Parking,"100 Huntington Ave Boston, MA 02116, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 5 Hours:  $38; 10 Hours:  $40; 24 Hours:  $42; Early Bird: Mon-Fri; In Between 5am-9am / Out Between 1pm-8pm $25; 3 Hours: In After 5pm / Out By 2am; With Validation $12; Event: In After 4pm $17; ,Monthly:  $450,$12.00,https://www.parkme.com/lot/15300/copley-place-parking-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 38 Isabella St Parking,,,,$12.00,http://www.parkme.com/map/partner_redirect?url=https%3A%2F%2Fwww.parkwhiz.com%2Fp%2F44259%3Fpwa%3D4d19400%26start_date%3D01%2F24%2F2022%26end_date%3D01%2F24%2F2022%26start_time%3D13%3A33%26end_time%3D14%3A33&name=38+Isabella+St+Parking&show=true
 The Westland Avenue Garage,"35 Westland Ave Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $12; 1.5 Hours:  $18; 10 Hours:  $30; 12 Hours:  $33; 14 Hours:  $35; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out By 6pm $25; Event: 10 Hours $30; ,Monthly:  $345,$12.00,https://www.parkme.com/lot/26840/the-westland-avenue-garage-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
 1330 Boylston St Garage,"75 Jersey St Boston, MA 02215, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $32; Daily Max:  $36; Mon-Fri: In After 4pm; 6 Hour Max $10; Mon-Fri: In After 4pm / Out By 8am $15; 6 Hours: Sat-Sun $10; Sat-Sun: Out By 8am $15; ,Monthly:  $375,$12.00,https://www.parkme.com/lot/52849/1330-boylston-st?entry-date=2022-01-24T13:33&duration=60
 CityPlace Garage,"40 Charles St S Boston, MA 02116, US ",1 Hour: Mon-Fri; In Between 5am-5pm $12; 2 Hours: Mon-Fri; In Between 5am-5pm $16; 3 Hours: Mon-Fri; In Between 5am-5pm $20; 12 Hours:  $23; 24 Hours:  $33; 1 Hour: Sat-Sun; In Between 5am-5pm $12; ,Mon-Sun:  24 Hours,$12.00,https://www.parkme.com/lot/52976/cityplace-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
 40 Beach St Garage,"40 Beach St Boston, MA 02111, US ",30 Min:  $5; 1 Hour:  $12; 1.5 Hours:  $18; 2 Hours:  $22; 12 Hours:  $24; 24 Hours:  $27; Early Bird: Mon-Fri; In Between 4am-9:30am / Out By 6pm $17; Evening: Mon-Thu; In After 5pm / Out By 5am $13; Evening: Fri; In After 5pm / Out By 5am $14; 12 Hours: Sat-Sun $14; 24 Hours: Sat-Sun $19; ,Monthly:  $165-$335,$12.00,https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60
 The Viridian,"1282 Boylston St Boston, MA 02215, US ",30 Min:  $8; 1 Hour:  $12; 2 Hours:  $20; 5 Hours:  $30; 24 Hours:  $34; Evening: Mon-Fri; In After 4pm / Out By 4am $10; Sat-Sun:  $10; ,Mon-Sun:  24 Hours,$12.00,https://www.parkme.com/lot/80429/the-viridian-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 840 Harrison Ave Parking,"Boston Medical Center Pl Boston, MA 02118, US ",Daily Max:  $12; ,,$12.00,https://www.parkme.com/lot/80479
 The Harlo Parking,"33 Kilmarnock St Boston, MA 02215, US ",30 Min:  $7; 1 Hour:  $12; 2 Hours:  $20; 3 Hours:  $30; 24 Hours:  $35; Evening: Mon-Fri; In After 4pm / Out By 8am $10; 12 Hours: Sat-Sun $10; ,Monthly:  $375,$12.00,https://www.parkme.com/lot/115651/the-harlo-parking-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
