lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Suffolk Downs,"1230 Bennington St Boston, MA 02128, US ",Daily Max:  $2.50; ,Monthly:  $43.75,$43.75,https://www.parkme.com/lot/26666
 Beachmont,"630 Winthrop Ave Revere, MA 02151, US ",Mon-Fri:  $5; Sat-Sun:  $2.50; ,Monthly:  $87.50,$87.50,https://www.parkme.com/lot/215046
 100 Cambridge Street Parking Facility,"30 Somerset St Boston, MA 02114, US ",20 Min:  $8; 40 Min:  $17; 1 Hour:  $27; 80 Min:  $34; 2 Hours:  $38; Early Bird: In By 9am / Out By 2pm $26; Evening: In After 5pm $12; Mon-Fri:  $41; Sat-Sun:  $12; ,Monthly:  $95,$95.00,https://www.parkme.com/lot/32133
 Nautica,"88 Constitution Rd Boston, MA 02129, US ",30 Min:  $6; 1 Hour:  $12; 1.5 Hours:  $17; 2 Hours: With Validation $5.50-$11; 4 Hours: With Validation $7.50-$15; 12 Hours:  $22; 24 Hours:  $28; Max: In After 5pm / Out By 7am $15; Event:  $15; ,Monthly:  $250,$250.00,https://www.parkme.com/lot/213621
 Commercial Wharf East,"33 Commercial Wharf Boston, MA 02110, US ",,Monthly:  $300,$300.00,https://www.parkme.com/lot/15243
 Constitution Wharf,"1 Constitution Rd Boston, MA 02129, US ",30 Min: Mon-Fri $6; 1 Hour: Mon-Fri $11; 1.5 Hours: Mon-Fri $17; 8 Hours: Mon-Fri $23; 12 Hours:  $25; 24 Hours:  $30; 30 Min: In After 5pm / Out By 7am $6; 1 Hour: In After 5pm / Out By 7am $12; 1.5 Hours: In After 5pm / Out By 7am $17; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $20; ,Monthly:  $75-$315,$315.00,https://www.parkme.com/lot/188543
 North End,"600 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 1.5 Hours:  $19; 2 Hours:  $23; 10 Hours:  $27; 24 Hours:  $37; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; Evening: Sun-Wed; In After 5pm / Out By 5am $19; Evening: Thu-Sat; In After 5pm / Out By 5am $25; Event:  $44; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/15223
 Lewis Wharf,"641 Lewis Wharf Boston, MA 02109, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $19; 10 Hours:  $23; 24 Hours:  $30; Early Bird: Mon-Fri; In 5am-9am / Out By 6pm $20; Evening: Mon-Fri; In After 4pm $18; Sat-Sun:  $24; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/32098
 Sargent's Wharf,"269 Commercial St Boston, MA 02110, US ",30 Min:  $7; 1 Hour:  $13; 2 Hours:  $19; 8 Hours:  $23; Daily Max:  $30; Early Bird: Mon-Fri; In Between 5am-9am / Out By 8pm $20; Evening: Mon-Fri; In After 4pm / Out By 5am $18; Sat-Sun:  $24; Event:  $30; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/80440
 North Station Garage,"121 Nashua St Boston, MA 02114, US ",Each 30 Min: Mon-Fri; 5am-6pm $7; 2 Hours: Mon-Fri; 6am-6pm $21; 3 Hours: Mon-Fri; 6am-6pm $25; 12 Hours: Mon-Fri; 6am-6pm $30; Max: Mon-Fri $68; Early Bird: In By 9am / Out By 6pm $22; Evening: In After 6pm $10; 10 Hours: Sat-Sun $10; Event:  $48; ,Monthly:  $380,$380.00,https://www.parkme.com/lot/32146
 Government Center Garage,"41 New Chardon St Boston, MA 02114, US ",Evening: Mon-Fri; In After 5pm / Out By 5am $14; Sat-Sun:  $14; ,Monthly:  $140-$400,$400.00,https://www.parkme.com/lot/26152
 34 Cooper St Parking,"34 Cooper St Boston, MA 02113, US ",30 Min:  $12; 1 Hour:  $18; 10 Hours:  $24; 24 Hours:  $39; Event:  $38; ,Monthly:  $420,$420.00,https://www.parkme.com/lot/24125
 Dock Square Parking Garage,"20 Clinton St Boston, MA 02109, US ",20 Min:  $9; 40 Min:  $18; 1 Hour:  $28; 1.5 Hours:  $34; 24 Hours:  $40; Early Bird: In Between 5am-9am / Out By 7pm $25; ,Monthly:  $125-$450,$450.00,https://www.parkme.com/lot/26157
 Asteria,"4 Emerson Pl Boston, MA 02114, US ",1 Hour:  $12; 2 Hours:  $24; 3 Hours:  $36; Daily Max:  $48; Early Bird: In By 9am / Out By 9pm $30; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/32145
 101 Merrimac Parking,"19 Lancaster St Boston, MA 02114, US ",1 Hour:  $13; 2 Hours:  $18; 3 Hours:  $21; Daily Max:  $25; ,Monthly:  $465,$465.00,https://www.parkme.com/lot/24108
 Longfellow Place,"60 Staniford St Boston, MA 02114, US ",1 Hour:  $12; 2 Hours:  $24; 3 Hours:  $36; Daily Max:  $48; Event:  $20-$50; ,Monthly:  $500,$500.00,https://www.parkme.com/lot/32148
 181-183 N Washington St Garage,"181-183 N Washington St Boston, MA 02113, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/15282
 Ristorante Villa Francesca,"150 Richmond St Boston, MA 02113, US ",,Mon-Sun:  5pm-2am,—,https://www.parkme.com/lot/211083
 230 Lee Burbank Highway Revere Parking,"230 Lee Burbank Highway Revere Revere, MA 02151, US ",,,—,https://www.parkme.com/lot/378699
 Eliot Innovation School,"585 Commercial St Boston, MA 02109, US ",Visitors Only:  Free; ,Mon-Fri:  8:30am-3:10pm,—,https://www.parkme.com/lot/26151
 401 Bremen St Parking,"401 Bremen St Boston, MA 02128, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26661
 Italian American War Veterans - Post #6,"60 Paris St Boston, MA 02128, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/26698
 Carr Funeral Home,"220 Bunker Hill St Boston, MA 02129, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/26741
 66 Canal St Parking,"157-159 Friend St Boston, MA 02114, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/26796
