lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Green St Parking,"420 Amory St Boston, MA 02130, US ",,Monthly:  $80,$80.00,https://www.parkme.com/lot/24384
 26 Allston St Parking,"26 Allston St Boston, MA 02134, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/213552
 518-524 Cambridge St Parking,"13 Imrie Rd Boston, MA 02134, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/213585
 The Courtyard On North Beacon 140-154,"140-154 N Beacon St Boston, MA 02135, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/214269
 143-145 Freeman St Parking,"99 Ewe St Brookline, MA 02446, US ",,Monthly:  $165,$165.00,https://www.parkme.com/lot/219646
 Hope Central Church,"20 Elm St Boston, MA 02130, US ",,Monthly:  $105-$170,$170.00,https://www.parkme.com/lot/371059
 175-185 Freeman Street Parking,"175-185 Freeman St Brookline, MA 02446, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/211115
 237 Fuller St Parking,"237 Fuller St Brookline, MA 02446, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/213546
 41 Winslow Rd Parking,"41 Winslow Road Brookline, MA 02446, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/213578
 110 Babcock St Parking,"110 S Babcock St Brookline, MA 02446, US ",,Monthly:  $185-$200,$200.00,https://www.parkme.com/lot/211054
 222-230 Babcock St Parking,"222-230 Babcock St Brookline, MA 02446, US ",,Monthly:  $175-$200,$200.00,https://www.parkme.com/lot/213535
 53-63 Parkman St Parking,"53-63 Parkman St Brookline, MA 02446, US ",,Monthly:  $185-$200,$200.00,https://www.parkme.com/lot/215367
 19 Winchester St Parking,"50 Centre St Brookline, MA 02446, US ",,Monthly:  $250,$250.00,https://www.parkme.com/lot/213576
 36 Wait St Parking,"36 Wait St Boston, MA 02120, US ",,Monthly:  $350,$350.00,https://www.parkme.com/lot/331435
 C-1,"33 Harry Agganis Way Boston, MA 02215, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/24261
 Lot R,"766 Commonwealth Ave Brookline, MA 02446, US ",Events:  $20; With Validation:  Free; ,,—,https://www.parkme.com/lot/101354
 Longwood Tower Garage,"20 Chapel St Brookline, MA 02446, US ",Event:  $25.88; ,,—,https://www.parkme.com/lot/166429
 Chestnut Hill,"468 Hammond St Newton, MA 02467, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/215087
 79 Chestnut St Parking,"79 Chestnut St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/331169
 18 Griggs Rd Parking,"18 Griggs Rd Brookline, MA 02446, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/336176
 49 Boylston St Parking,"49 Boylston St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/337518
 132 Beaconsfield Rd Parking,"132 Beaconsfield Rd Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338593
 191 Kent St Parking,"191 Kent St Brookline, MA 02446, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338594
 16 Wadsworth St Parking,"16 Wadsworth St Boston, MA 02134, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338838
 8 Chiswick Rd Parking,"8 Chiswick Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/372916
 197 Rawson Road Brookline Parking,"197 Rawson Road Brookline Brookline, MA 02445, US ",,,—,https://www.parkme.com/lot/376618
 Star Market,"92 Alcorn St Boston, MA 02134, US ",2 Hours: With Validation Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/27588
 Yusuf Mosque,"186 Chestnut Hill Ave Boston, MA 02135, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/188148
 11 Embassy Rd Parking,"11 Embassy Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/202172
 Longwood Plastic Surgery,"235 Cypress St Brookline, MA 02445, US ",Visitors Only:  Free; ,Mon-Fri:  8:30am-5pm,—,https://www.parkme.com/lot/213541
