lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Bellevue,"35 Colbert St Boston, MA 02132, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215052
 Roslindale Village,"1 Belgrade Ave Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215144
 Roslindale Village,"790 South St Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215152
 1799 Centre St Parking,"1799 Centre St Boston, MA 02132, US ",,Monthly:  $75,$75.00,https://www.parkme.com/lot/211116
 Chestnut Hill,"468 Hammond St Newton, MA 02467, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/215087
 79 Chestnut St Parking,"79 Chestnut St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/331169
 49 Boylston St Parking,"49 Boylston St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/337518
 132 Beaconsfield Rd Parking,"132 Beaconsfield Rd Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338593
 197 Rawson Road Brookline Parking,"197 Rawson Road Brookline Brookline, MA 02445, US ",,,—,https://www.parkme.com/lot/376618
 Longwood Plastic Surgery,"235 Cypress St Brookline, MA 02445, US ",Visitors Only:  Free; ,Mon-Fri:  8:30am-5pm,—,https://www.parkme.com/lot/213541
