lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Green St Parking,"420 Amory St Boston, MA 02130, US ",,Monthly:  $80,$80.00,https://www.parkme.com/lot/24384
 Hope Central Church,"20 Elm St Boston, MA 02130, US ",,Monthly:  $105-$170,$170.00,https://www.parkme.com/lot/371059
 413 Massachusetts Ave Parking,"585 Columbus Ave Boston, MA 02118, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/117210
 53-63 Parkman St Parking,"53-63 Parkman St Brookline, MA 02446, US ",,Monthly:  $185-$200,$200.00,https://www.parkme.com/lot/215367
 19 Winchester St Parking,"50 Centre St Brookline, MA 02446, US ",,Monthly:  $250,$250.00,https://www.parkme.com/lot/213576
 Greenhouse Apartments,"2 Cumberland St Boston, MA 02115, US ",1 Hour:  $8; 3 Hours:  $15; 10 Hours:  $22; 24 Hours:  $26; ,Monthly:  $260,$260.00,https://www.parkme.com/lot/52855
 Crosstown Center,"46 Northampton St Boston, MA 02119, US ",Each Hour:  $4; 5 Hours:  $20; 12 Hours:  $24; 24 Hours:  $30; Max: With Validation $25; ,Monthly:  $50-$285,$285.00,https://www.parkme.com/lot/94625
 277 Northampton St Garage,"277 Northampton St Boston, MA 02118, US ",Max: 6am-6pm $15; Evening: In After 6pm $15; Event:  $15; ,Monthly:  $300,$300.00,https://www.parkme.com/lot/15328
 86-96 Avenue Louis Pasteur Garage,"86-96 Avenue Louis Pasteur Boston, MA 02115, US ",2 Hours: Mon-Fri; With Validation $2.70; 4 Hours: Mon-Fri; With Validation $10.65; 5 Hours: Mon-Fri; With Validation $14.35; Max: Mon-Fri; With Validation $19.15; 2 Hours: Sat-Sun; With Validation $7.05; 4 Hours: Sat-Sun; With Validation $8.65; Max: Sat-Sun; With Validation $14.35; 1 Hour:  $8; 2 Hours:  $12; 3 Hours:  $17; 4 Hours:  $22; 5 Hours:  $27; Daily Max:  $30; Early Bird: In Between 5am-7am / Out By 6pm $28; ,Monthly:  $300,$300.00,https://www.parkme.com/lot/213618
 The Westland Avenue Garage,"35 Westland Ave Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $12; 1.5 Hours:  $18; 10 Hours:  $30; 12 Hours:  $33; 14 Hours:  $35; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out By 6pm $25; Event: 10 Hours $30; ,Monthly:  $345,$345.00,https://www.parkme.com/lot/26840
 Queensberry Street Garage,"59 Queensberry St Boston, MA 02215, US ",1 Hour:  $10; 3 Hours:  $15; Max: In By 5pm $15; Daily Max:  $20; Event:  $60; ,Monthly:  $350,$350.00,https://www.parkme.com/lot/26179
 Deaconess Garage,"60 Kilmarnock St Boston, MA 02215, US ",1 Hour:  $10; 5 Hours:  $15; Max: In By 5pm $40; 24 Hours:  $20; Event:  $60; ,Monthly:  $350,$350.00,https://www.parkme.com/lot/26180
 36 Wait St Parking,"36 Wait St Boston, MA 02120, US ",,Monthly:  $350,$350.00,https://www.parkme.com/lot/331435
 1330 Boylston St Garage,"75 Jersey St Boston, MA 02215, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $32; Daily Max:  $36; Mon-Fri: In After 4pm; 6 Hour Max $10; Mon-Fri: In After 4pm / Out By 8am $15; 6 Hours: Sat-Sun $10; Sat-Sun: Out By 8am $15; ,Monthly:  $375,$375.00,https://www.parkme.com/lot/52849
 The Harlo Parking,"33 Kilmarnock St Boston, MA 02215, US ",30 Min:  $7; 1 Hour:  $12; 2 Hours:  $20; 3 Hours:  $30; 24 Hours:  $35; Evening: Mon-Fri; In After 4pm / Out By 8am $10; 12 Hours: Sat-Sun $10; ,Monthly:  $375,$375.00,https://www.parkme.com/lot/115651
 Gainsboro Garage,"10 Gainsborough St Boston, MA 02115, US ",10 Hours:  $19; 24 Hours:  $21; ,Monthly:  $125-$380,$380.00,https://www.parkme.com/lot/26169
 Landmark Center,"445 Park Dr Boston, MA 02215, US ",10 Min:  Free; 30 Min:  $5; 1 Hour:  $7; 1.5 Hours:  $10; 2 Hours:  $12; 2.5 Hours:  $15; 18 Hours:  $28; 30 Min: With Validation $2; 1 Hour: With Validation $3; 1.5 Hours: With Validation $6; 2 Hours: With Validation $9; 2.5 Hours: With Validation $13; 18 Hours: With Validation $24; Event: 18 Hours $50-$55; ,Monthly:  $145-$385,$385.00,https://www.parkme.com/lot/80426
 Fenway,"16 Kilmarnock St Boston, MA 02215, US ",1 Hour:  $12; 90 Min:  $14; 2 Hours:  $20; 150 Min:  $24; 3 Hours:  $32; Daily Max:  $38; Evening: Mon-Fri; In After 4pm / Out By 8am $10; Sat-Sun:  $10; Event:  $55; ,Monthly:  $405,$405.00,https://www.parkme.com/lot/15290
 55 Jersey Street,"55 Jersey St Boston, MA 02215, US ",Mon-Fri: In By 5am $22; Early Bird: Mon-Fri; In By 9am / Out By 5pm $20; Evening: Mon-Fri; In After 4pm $10; Sat-Sun:  $10; ,Monthly:  $405,$405.00,https://www.parkme.com/lot/24302
 Christian Science Plaza,"235 Huntington Ave Boston, MA 02115, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $30; 12 Hours:  $34; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $25; Evening: Mon-Fri; In After 5pm / Out By 8am $15; Event:  $25; 12 Hours: Sat-Sun $20; ,Monthly:  $390-$450,$450.00,https://www.parkme.com/lot/168561
 189-203 Ipswich Lot,"189-203 Ipswich St Boston, MA 02215, US ",Event:  $10-$55; ,Mon-Tue:  5am-10pm,—,https://www.parkme.com/lot/26178
 Renaissance Park Garage,"835 Columbus Ave Boston, MA 02120, US ",30 Min:  $11; 1 Hour:  $12; 1.5 Hours:  $21; 2 Hours:  $23; 2.5 Hours:  $25; 3 Hours:  $30; 4 Hours:  $32; 24 Hours:  $38; 24 Hours: Sat-Sun $20; ,Monthly:  $125-$350,—,https://www.parkme.com/lot/26200
 Museum of Fine Arts,"20-26 Museum Rd Boston, MA 02115, US ",,Mon-Tue:  5am-10pm,—,https://www.parkme.com/lot/26844
 70 Kilmarnock St Parking,"Private Alley 934 Boston, MA 02215, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/27553
 North Lot,"93 St Stephen St Boston, MA 02115, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/80398
 Massart,"135 Ward St Boston, MA 02120, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/80403
 78 Gainsborough St Parking,"78 Gainsborough St Boston, MA 02115, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/117216
 Longwood Tower Garage,"20 Chapel St Brookline, MA 02446, US ",Event:  $25.88; ,,—,https://www.parkme.com/lot/166429
 79 Chestnut St Parking,"79 Chestnut St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/331169
 18 Griggs Rd Parking,"18 Griggs Rd Brookline, MA 02446, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/336176
 49 Boylston St Parking,"49 Boylston St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/337518
 132 Beaconsfield Rd Parking,"132 Beaconsfield Rd Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338593
 191 Kent St Parking,"191 Kent St Brookline, MA 02446, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/338594
 8 Chiswick Rd Parking,"8 Chiswick Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/372916
 197 Rawson Road Brookline Parking,"197 Rawson Road Brookline Brookline, MA 02445, US ",,,—,https://www.parkme.com/lot/376618
 Private Alley 914 Parking,"Private Alley 914 Boston, MA 02215, US ",,,—,https://www.parkme.com/lot/1200904
 2 Burke St Parking,"2 Burke St Boston, MA 02119, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/24362
 Congregación León de Judá,"20 Reed St Boston, MA 02118, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/32179
 Yusuf Mosque,"186 Chestnut Hill Ave Boston, MA 02135, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/188148
 Boston Temple Seventh-day Adventist Church,"72 Peterborough St Boston, MA 02215, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/188717
 11 Embassy Rd Parking,"11 Embassy Rd Boston, MA 02135, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/202172
 Longwood Plastic Surgery,"235 Cypress St Brookline, MA 02445, US ",Visitors Only:  Free; ,Mon-Fri:  8:30am-5pm,—,https://www.parkme.com/lot/213541
