lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Pre-Flight Airport Parking,"111 Eastern Ave Chelsea, MA 02150, US ",Each Hour:  $4; Daily Max:  $18; Weekly:  $108; ,Mon-Sun:  24 Hours,$4.00,https://www.parkme.com/lot/105265
 BOS - Economy Parking Garage,"133 Prescott St Boston, MA 02128, US ",1 Hour:  $7; 2 Hours:  $18; 3 Hours:  $20; 4 Hours:  $23; 24 Hours:  $26; 30 Hours:  $39; 48 Hours:  $52; Each Add'l 6 Hours:  $13; ,,—,https://www.parkme.com/lot/99582
 333 Border St Parking,"333 Border St Boston, MA 02128, US ",Customers Only:  Free; ,,$0.00,https://www.parkme.com/lot/26672
 TownePlace Suites,"285 Central Ave Chelsea, MA 02150, US ",Guests Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/194046
 115 Broadway Parking,"115 Broadway Chelsea, MA 02150, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182135
 Courtyard Marriott,"225 William F McClellan Hwy Boston, MA 02128, US ",Daily Max:  $25; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/194028
 401 Bremen St Parking,"401 Bremen St Boston, MA 02128, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26661
