lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Bellevue,"35 Colbert St Boston, MA 02132, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215052
 Roslindale Village,"1 Belgrade Ave Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215144
 Roslindale Village,"790 South St Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215152
 1799 Centre St Parking,"1799 Centre St Boston, MA 02132, US ",,Monthly:  $75,$75.00,https://www.parkme.com/lot/211116
 Green St Parking,"420 Amory St Boston, MA 02130, US ",,Monthly:  $80,$80.00,https://www.parkme.com/lot/24384
 Milton,"98 Wharf St Milton, MA 02186, US ",Mon-Fri:  $6; Sat-Sun:  $2; ,Monthly:  $105,$105.00,https://www.parkme.com/lot/215081
 Hope Central Church,"20 Elm St Boston, MA 02130, US ",,Monthly:  $105-$170,$170.00,https://www.parkme.com/lot/371059
 Church in Boston,"156 E Cottage St Boston, MA 02125, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26995
 Father Jack Roussin Community Center,"3134 Washington St Boston, MA 02130, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/213651
