lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 26 Allston St Parking,"26 Allston St Boston, MA 02134, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/213552
 518-524 Cambridge St Parking,"13 Imrie Rd Boston, MA 02134, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/213585
 The Courtyard On North Beacon 140-154,"140-154 N Beacon St Boston, MA 02135, US ",,Monthly:  $150,$150.00,https://www.parkme.com/lot/214269
 143-145 Freeman St Parking,"99 Ewe St Brookline, MA 02446, US ",,Monthly:  $165,$165.00,https://www.parkme.com/lot/219646
 175-185 Freeman Street Parking,"175-185 Freeman St Brookline, MA 02446, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/211115
 237 Fuller St Parking,"237 Fuller St Brookline, MA 02446, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/213546
 41 Winslow Rd Parking,"41 Winslow Road Brookline, MA 02446, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/213578
 110 Babcock St Parking,"110 S Babcock St Brookline, MA 02446, US ",,Monthly:  $185-$200,$200.00,https://www.parkme.com/lot/211054
 222-230 Babcock St Parking,"222-230 Babcock St Brookline, MA 02446, US ",,Monthly:  $175-$200,$200.00,https://www.parkme.com/lot/213535
 53-63 Parkman St Parking,"53-63 Parkman St Brookline, MA 02446, US ",,Monthly:  $185-$200,$200.00,https://www.parkme.com/lot/215367
 Central Square,"438 Green St Cambridge, MA 02139, US ",30 Min: Mon-Fri; 7am-5pm $7; 1 Hour: Mon-Fri; 7am-5pm $13; Max: Mon-Fri; 7am-5pm $19; Evening: Mon-Fri; 5pm-7am $10; Sat-Sun:  $10; 24 Hours:  $38; ,Monthly:  $240,$240.00,https://www.parkme.com/lot/53523
 19 Winchester St Parking,"50 Centre St Brookline, MA 02446, US ",,Monthly:  $250,$250.00,https://www.parkme.com/lot/213576
 55 Franklin Street Garage,"55 Franklin St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Max: Out By 5am $40; Evening: In After 5pm / Out By 8am $12; ,Monthly:  $165-$325,$325.00,https://www.parkme.com/lot/32208
