lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 125 Allied Dr Parking,"125 Allied Dr Dedham, MA 02026, US ",Daily Max:  $2; ,Monthly:  $35,$35.00,https://www.parkme.com/lot/215091
 Readville - Lot C,"1800 Hyde Park Ave Boston, MA 02136, US ",Daily Max:  $2; ,Monthly:  $35,$35.00,https://www.parkme.com/lot/215462
 Readville - Lot A,"8 Milton St Boston, MA 02110, US ",Daily Max:  $2; ,Monthly:  $35,$35.00,https://www.parkme.com/lot/215463
 Hyde Park,"1 Pingree St Boston, MA 02136, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215126
 125 Parker Hill Ave Parking,"100 Allied Dr Dedham, MA 02026, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/190391
