lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Municipal Lot #018,"450 W Broadway Boston, MA 02127, US ",2 Hours: Mon-Fri; 8am-6pm Free; Mon-Fri: 6pm-8am Free; Sat-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26928
 Lot #5,"25 Norfolk St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91560
 Lot #9,"9 Pleasant St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91564
 Lot #8,"375 Green St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91566
 Lot #4,"96 Bishop Allen Dr Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91675
 365 Albany St Parking,"365 Albany St Boston, MA 02118, US ",Each Hour:  $2.50; Daily Max:  $20; ,Mon-Sun:  24 Hours,$2.50,https://www.parkme.com/lot/26821
 Green Street Garage,"260 Green St Cambridge, MA 02139, US ",1 Hour:  $4; 2 Hours:  $8; 3 Hours:  $10; 4 Hours:  $12; 5 Hours:  $16; 8 Hours:  $18; 9 Hours:  $20; 12 Hours:  $22; 24 Hours:  $30; ,Mon-Sun:  24 Hours,$4.00,https://www.parkme.com/lot/32211
 East Cambridge Garage,"7 Spring St Cambridge, MA 02141, US ",1 Hour:  $4; Each Add'l Hour:  $2; 8 Hours:  $19; 9 Hours:  $22; 24 Hours:  $30; ,Monthly:  $50-$100,$4.00,https://www.parkme.com/lot/91645
 Kenmore Lot,"73 Brookline Ave Boston, MA 02215, US ",2 Hours:  $5; Max: 6am-6pm $10; Event:  $10-$55; ,Mon-Tue:  5am-10pm,$5.00,https://www.parkme.com/lot/27559
 Brookline Place,"2 Pearl St Brookline, MA 02445, US ",15 Min:  Free; 30 Min:  $3; 1 Hour:  $6; 2 Hours:  $9; 3 Hours:  $12; 4 Hours:  $15; 5 Hours:  $18; 6 Hours:  $21; 7 Hours:  $23; 24 Hours:  $25; ,Mon-Sun:  24 Hours,$6.00,https://www.parkme.com/lot/45813
