lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Bellevue,"35 Colbert St Boston, MA 02132, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215052
 Hyde Park,"1 Pingree St Boston, MA 02136, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215126
 Roslindale Village,"1 Belgrade Ave Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215144
 Roslindale Village,"790 South St Boston, MA 02131, US ",Mon-Fri:  $4; Sat-Sun:  $2; ,Monthly:  $70,$70.00,https://www.parkme.com/lot/215152
 1799 Centre St Parking,"1799 Centre St Boston, MA 02132, US ",,Monthly:  $75,$75.00,https://www.parkme.com/lot/211116
 West Roxbury,"450 Lagrange St Boston, MA 02132, US ",Mon-Fri:  $6; Sat-Sun:  $2; ,Monthly:  $105,$105.00,https://www.parkme.com/lot/215054
