lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Windsor Street - Lot 11,"471 Windsor St Cambridge, MA 02141, US ",Each Hour: Mon-Sat; 8am-10pm; 2 Hour Max $1.25; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/115645
 One Kendall Square Garage,"389 Binney St Cambridge, MA 02141, US ",30 Min:  $5; 1 Hour:  $8; 2 Hours:  $12; 3 Hours:  $14; 4 Hours:  $18; 8 Hours:  $22; Daily Max:  $23; 4 Hours: With Validation $3; ,Monthly:  $425,$8.00,https://www.parkme.com/lot/91630/one-kendall-square-garage-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
 Kendall Center Yellow,"Ames Pl Cambridge, MA 02142, US ",30 Min:  $10; 1 Hour:  $15; 3 Hours:  $30; 10 Hours:  $36; 24 Hours:  $40; Evening: In After 6pm / Out By 12am $10; ,Mon-Sun:  24 Hours,$15.00,https://www.parkme.com/lot/91605
 Binney Street Garage,"192 Rogers St Cambridge, MA 02142, US ",30 Min:  $10; 1 Hour:  $15; 3 Hours:  $28; 24 Hours:  $39; ,Mon-Fri:  5am-7pm,$15.00,https://www.parkme.com/lot/218531
 Kendall Center Blue Garage,"290 Binney St Cambridge, MA 02142, US ",1 Hour:  $16; 3 Hours:  $32; 24 Hours:  $42; Evening: In After 6pm / Out By 12am $10; ,Mon-Sun:  24 Hours,$16.00,https://www.parkme.com/lot/32216
 205 Cambridge St Parking,"205 Cambridge St Cambridge, MA 02141, US ",Each 15 Min:  $4; Daily Max:  $20; ,Mon-Sun:  24 Hours,$16.00,https://www.parkme.com/lot/115644/205-cambridge-st?entry-date=2022-01-24T13:33&duration=60
 650 East Kendall Street Garage,"96 Linskey Way Cambridge, MA 02142, US ",30 Min: Mon-Fri; 7am-4pm $11; 1 Hour: Mon-Fri; 7am-4pm $16; 1.5 Hours: Mon-Fri; 7am-4pm $23; 3 Hours: Mon-Fri; 7am-4pm $33; Max: Mon-Fri; 7am-4pm $39; Evening: Mon-Fri; In After 4pm / Out By 6am $10; Each Hour: Mon-Fri; In After 4pm / Out By 6am; 3 Hour Max; With Validation $2; Each Hour: Sat-Sun; Out By 6am; 3 Hour Max; With Validation $2; 24 Hours: Mon-Fri $42; ,Monthly:  $380,$16.00,https://www.parkme.com/lot/218541
 55 Franklin Street Garage,"55 Franklin St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Max: Out By 5am $40; Evening: In After 5pm / Out By 8am $12; ,Monthly:  $165-$325,$17.00,https://www.parkme.com/lot/32208
 80 Landsdowne Street,"80 Landsdowne St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Daily Max:  $45; ,Mon-Sun:  24 Hours,$17.00,https://www.parkme.com/lot/32212
 Technology Square Parking,"500 Technology Sq Cambridge, MA 02139, US ",1 Hour:  $17; 1.5 Hours:  $25; 3 Hours:  $30; 24 Hours:  $42; ,Mon-Sun:  24 Hours,$17.00,https://www.parkme.com/lot/91731
 Fairfield Inn & Suites,"215 Monsignor O'Brien Hwy Cambridge, MA 02141, US ",Daily Max:  $25; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/194043
 Two Canal Park,"40 Cambridge St Cambridge, MA 02141, US ",Daily Max:  $25; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/342759
 Le Meridien Cambridge,"60 Green St Cambridge, MA 02139, US ",Daily Max:  $40; ,Mon-Sun:  24 Hours,$40.00,https://www.parkme.com/lot/113875
 Kendall Center Green Garage,"90 Broadway Cambridge, MA 02142, US ",24 Hours:  $45; ,Mon-Sun:  24 Hours,$45.00,https://www.parkme.com/lot/32222
 Cambridge Center Marriott,"50 Broadway Cambridge, MA 02142, US ",Daily Max:  $45; ,Mon-Sun:  24 Hours,$45.00,https://www.parkme.com/lot/329005
 East Cambridge Garage,"7 Spring St Cambridge, MA 02141, US ",1 Hour:  $4; Each Add'l Hour:  $2; 8 Hours:  $19; 9 Hours:  $22; 24 Hours:  $30; ,Monthly:  $50-$100,$100.00,https://www.parkme.com/lot/91645
