lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Lot #2,"110 Mt Auburn St Cambridge, MA 02138, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $3; Each Hour: Mon-Sat; 6pm-10pm $3; ,Mon-Sat:  8am-10pm,$3.00,https://www.parkme.com/lot/115646
 Church St,"41 Church St Cambridge, MA 02138, US ",30 Min:  $6; 1 Hour:  $12; 2 Hours: Mon-Sat $22; Max: Mon-Sat; Out By 5pm $29; Max: Mon-Sat $34; Max: Mon-Sat; 5pm-5am $24; Max: Sun $34; ,Monthly:  $399,$12.00,https://www.parkme.com/lot/32205/church-st-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
 The Charles Square Garage,"1 Bennett St Cambridge, MA 02138, US ",30 Min: 5am-5pm $6; 1 Hour: 5am-5pm $12; 1.5 Hour: 5am-5pm $12-$17; 2 Hours: 5am-5pm $17-$22; 3 Hours: 5am-5pm $22-$30; 6 Hours: 5am-5pm $30-$33; 12 Hours: 5am-5pm $33-$35; 24 Hours: 5am-5pm $40; 30 Min: 5pm-5am $7; 5 Hours: 5pm-5am $14; 8 Hours: 5pm-5am $16; 12 Hours: 5pm-5am $24; Early Bird: In By 9:30am / Out By 6pm $19; Oversize: 5am-5pm; 30 Min $9; Oversize: 5am-5pm; 1 Hour $15; Oversize: 5am-5pm; 1.5 Hour $20; Oversize: 5am-5pm; 2 Hours $25; Oversize: 5am-5pm; 3 Hours $33; Oversize: 5am-5pm; 6 Hours $36; Oversize: 5am-5pm; 12 Hours $38; Oversize: 5am-5pm; 24 Hours $40; ,Monthly:  $225-$450,$12.00,https://www.parkme.com/lot/52634/the-charles-square-garage-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
 Holyoke Center Garage,"11 Holyoke St Cambridge, MA 02138, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; 2 Hours:  $21; 12 Hours: Out By 6pm $25; 24 Hours: Out By 5am $30; Daily Max:  $30; Each 30 Min: In After 5pm / Out By 5am $5; Max: In After 5pm / Out By 5am $15; ,Monthly:  $485,$12.00,https://www.parkme.com/lot/91635/holyoke-center-garage-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
 Harvard Square Parking Garage,"20 Eliot St Cambridge, MA 02138, US ",Early Bird: Mon-Sat; In By 8am / Out By 5pm $21; 30 Min: Mon-Sat; 5am-5pm $6; 1 Hour: Mon-Sun $12; 1.5 Hours: Mon-Sat; 5am-5pm $16; 2.5 Hours: Mon-Sat; 5am-5pm $24; 3 Hours: Mon-Sat; 5am-5pm $28; 12 Hours: Mon-Sat; 5am-5pm $32; Max: Mon-Sat; 5am-5pm $36; 30 Min: Mon-Sat; 5pm-2:30am $5; Max: Mon-Sat; 5pm-2:30am $15; 30 Min: Sun $5; Max: Sun $15; ,Mon-Sun:  5am-2:30am,$16.00,https://www.parkme.com/lot/32206
 University Place,"45 University Rd Cambridge, MA 02138, US ",30 Min:  $6; 1 Hour:  $12; 1.5 Hours:  $16; 2 Hours:  $21; Max: Mon-Fri; In After 4pm / Out By 3am $14; Daily Max:  $31; Max: Sat-Sun; Out By 3am $14; 1 Hour: Mon-Fri; In By 4pm; With Validation $5; 5 Hour: Mon-Fri; In By 4pm; With Validation $14; Max: Mon-Fri; In By 4pm; With Validation $28; 1 Hour: Mon-Fri; In After 4pm / Out By 3am; With Validation $5; Max: Mon-Fri; In After 4pm / Out By 3am; With Validation $10; 1 Hour: Sat-Sun; Out By 3am; With Validation $5; Max: Sat-Sun; Out By 3am; With Validation $10; ,Monthly:  $205-$455,—,https://www.parkme.com/lot/53525/university-place-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
 Harvard Square,"1 Story St Cambridge, MA 02138, US ",Event:  $20; ,Mon-Sun:  6pm-12am,—,https://www.parkme.com/lot/187791
 169 Everett St Parking,"169 Everett St Boston, MA 02134, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27733
 Courtyard,"184 Pleasant St Ext Cambridge, MA 02139, US ",Daily Max:  $42; ,Mon-Sun:  24 Hours,$42.00,https://www.parkme.com/lot/194041
