lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 2 Pearl St Parking,"2 Pearl St Boston, MA 02125, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27131
 Savin Hill,"14 S Sydney St Boston, MA 02125, US ",Max: Mon-Fri $7.50; Max: Sat-Sun $2.50; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/215154
 Murphy Funeral Home,"1020 Dorchester Ave Boston, MA 02125, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27139
 187 E Cottage St Parking,"711 Columbia Rd Boston, MA 02125, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182279
 Church in Boston,"156 E Cottage St Boston, MA 02125, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26995
