lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Green St Parking,"420 Amory St Boston, MA 02130, US ",,Monthly:  $80,$80.00,https://www.parkme.com/lot/24384
 North Quincy,"189 Hancock St Quincy, MA 02171, US ",Mon-Fri:  $5; Sat-Sun:  $3; ,Monthly:  $87.50,$87.50,https://www.parkme.com/lot/215106
 North Quincy,"171 Newport Ave Quincy, MA 02170, US ",Mon-Fri:  $5; Sat-Sun:  $3; ,Monthly:  $87.50,$87.50,https://www.parkme.com/lot/215447
 Wollaston,"90 Woodbine St Quincy, MA 02170, US ",Daily Max: Mon-Fri $6; Daily Max: Sat-Sun $3; ,Monthly:  $105,$105.00,https://www.parkme.com/lot/215039
 Milton,"98 Wharf St Milton, MA 02186, US ",Mon-Fri:  $6; Sat-Sun:  $2; ,Monthly:  $105,$105.00,https://www.parkme.com/lot/215081
 Hope Central Church,"20 Elm St Boston, MA 02130, US ",,Monthly:  $105-$170,$170.00,https://www.parkme.com/lot/371059
 29 Hancock Street Quincy Parking,"29 Hancock Street Quincy Quincy, MA 02171, US ",,,—,https://www.parkme.com/lot/373647
 29 Hancock Street Quincy Parking,"29 Hancock Street Quincy Quincy, MA 02171, US ",,,—,https://www.parkme.com/lot/373648
 29 Hancock Street Quincy Parking,"29 Hancock Street Quincy Quincy, MA 02171, US ",,,—,https://www.parkme.com/lot/373649
 Father Jack Roussin Community Center,"3134 Washington St Boston, MA 02130, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/213651
