lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 1045 Hyde Park Ave Parking,"1045 Hyde Park Ave Boston, MA 02136, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27276
 7 Spring St Parking,"7 Spring St Boston, MA 02132, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1184633
