lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 100 Cambridge Street Parking Facility,"30 Somerset St Boston, MA 02114, US ",20 Min:  $8; 40 Min:  $17; 1 Hour:  $27; 80 Min:  $34; 2 Hours:  $38; Early Bird: In By 9am / Out By 2pm $26; Evening: In After 5pm $12; Mon-Fri:  $41; Sat-Sun:  $12; ,Monthly:  $95,$95.00,https://www.parkme.com/lot/32133
 East Cambridge Garage,"7 Spring St Cambridge, MA 02141, US ",1 Hour:  $4; Each Add'l Hour:  $2; 8 Hours:  $19; 9 Hours:  $22; 24 Hours:  $30; ,Monthly:  $50-$100,$100.00,https://www.parkme.com/lot/91645
 Sullivan Square,"5 Maffa Way Boston, MA 02129, US ",Mon-Fri: 6am-1pm $8; Max: Mon-Fri; In After 1pm $6; Max: Sat-Sun $6; ,Monthly:  $160-$190,$190.00,https://www.parkme.com/lot/115641
 Sullivan Square,"649 Main St Boston, MA 02129, US ",Mon-Fri: 6am-1pm $8; Max: Mon-Fri; In After 1pm $6; Sat-Sun:  $6; ,Monthly:  $160-$190,$190.00,https://www.parkme.com/lot/188932
 Nautica,"88 Constitution Rd Boston, MA 02129, US ",30 Min:  $6; 1 Hour:  $12; 1.5 Hours:  $17; 2 Hours: With Validation $5.50-$11; 4 Hours: With Validation $7.50-$15; 12 Hours:  $22; 24 Hours:  $28; Max: In After 5pm / Out By 7am $15; Event:  $15; ,Monthly:  $250,$250.00,https://www.parkme.com/lot/213621
 Greenhouse Apartments,"2 Cumberland St Boston, MA 02115, US ",1 Hour:  $8; 3 Hours:  $15; 10 Hours:  $22; 24 Hours:  $26; ,Monthly:  $260,$260.00,https://www.parkme.com/lot/52855
 Commercial Wharf East,"33 Commercial Wharf Boston, MA 02110, US ",,Monthly:  $300,$300.00,https://www.parkme.com/lot/15243
 Constitution Wharf,"1 Constitution Rd Boston, MA 02129, US ",30 Min: Mon-Fri $6; 1 Hour: Mon-Fri $11; 1.5 Hours: Mon-Fri $17; 8 Hours: Mon-Fri $23; 12 Hours:  $25; 24 Hours:  $30; 30 Min: In After 5pm / Out By 7am $6; 1 Hour: In After 5pm / Out By 7am $12; 1.5 Hours: In After 5pm / Out By 7am $17; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $20; ,Monthly:  $75-$315,$315.00,https://www.parkme.com/lot/188543
 55 Franklin Street Garage,"55 Franklin St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Max: Out By 5am $40; Evening: In After 5pm / Out By 8am $12; ,Monthly:  $165-$325,$325.00,https://www.parkme.com/lot/32208
 40 Beach St Garage,"40 Beach St Boston, MA 02111, US ",30 Min:  $5; 1 Hour:  $12; 1.5 Hours:  $18; 2 Hours:  $22; 12 Hours:  $24; 24 Hours:  $27; Early Bird: Mon-Fri; In Between 4am-9:30am / Out By 6pm $17; Evening: Mon-Thu; In After 5pm / Out By 5am $13; Evening: Fri; In After 5pm / Out By 5am $14; 12 Hours: Sat-Sun $14; 24 Hours: Sat-Sun $19; ,Monthly:  $165-$335,$335.00,https://www.parkme.com/lot/75578
 Kendall SQ Garage,"300 Kendall St Cambridge, MA 02142, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $23; 3 Hours:  $33; 10 Hours:  $39; 24 Hours:  $42; Sat-Sun: Out By 6am $12; Early Bird: Mon-Fri; In By 9am / Out By 6pm $24; Evening: Mon-Fri; In After 4pm / Out By 6am $10; Each Hour: Mon-Fri; In After 4pm / Out By 6am; 3 Hour Max; With Validation $2; Each Hour: Sat-Sun; Out By 6am; 3 Hour Max; With Validation $2; ,Monthly:  $340,$340.00,https://www.parkme.com/lot/32217
 The Westland Avenue Garage,"35 Westland Ave Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $12; 1.5 Hours:  $18; 10 Hours:  $30; 12 Hours:  $33; 14 Hours:  $35; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out By 6pm $25; Event: 10 Hours $30; ,Monthly:  $345,$345.00,https://www.parkme.com/lot/26840
 200 Newbury Street,"109-127 Arlington St Boston, MA 02116, US ",30 Min:  $7; 1 Hour:  $14; 10 Hours:  $21; 24 Hours:  $38; Evening: In After 5pm; 10 Hours $15; 10 Hours: Sat-Sun $15; ,Monthly:  $350,$350.00,https://www.parkme.com/lot/80332
 363 Congress St Parking,"363 Congress St Boston, MA 02210, US ",,Monthly:  $350,$350.00,https://www.parkme.com/lot/332494
 North End,"600 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 1.5 Hours:  $19; 2 Hours:  $23; 10 Hours:  $27; 24 Hours:  $37; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; Evening: Sun-Wed; In After 5pm / Out By 5am $19; Evening: Thu-Sat; In After 5pm / Out By 5am $25; Event:  $44; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/15223
 Lewis Wharf,"641 Lewis Wharf Boston, MA 02109, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $19; 10 Hours:  $23; 24 Hours:  $30; Early Bird: Mon-Fri; In 5am-9am / Out By 6pm $20; Evening: Mon-Fri; In After 4pm $18; Sat-Sun:  $24; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/32098
 Sargent's Wharf,"269 Commercial St Boston, MA 02110, US ",30 Min:  $7; 1 Hour:  $13; 2 Hours:  $19; 8 Hours:  $23; Daily Max:  $30; Early Bird: Mon-Fri; In Between 5am-9am / Out By 8pm $20; Evening: Mon-Fri; In After 4pm / Out By 5am $18; Sat-Sun:  $24; Event:  $30; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/80440
 1330 Boylston St Garage,"75 Jersey St Boston, MA 02215, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $32; Daily Max:  $36; Mon-Fri: In After 4pm; 6 Hour Max $10; Mon-Fri: In After 4pm / Out By 8am $15; 6 Hours: Sat-Sun $10; Sat-Sun: Out By 8am $15; ,Monthly:  $375,$375.00,https://www.parkme.com/lot/52849
 North Station Garage,"121 Nashua St Boston, MA 02114, US ",Each 30 Min: Mon-Fri; 5am-6pm $7; 2 Hours: Mon-Fri; 6am-6pm $21; 3 Hours: Mon-Fri; 6am-6pm $25; 12 Hours: Mon-Fri; 6am-6pm $30; Max: Mon-Fri $68; Early Bird: In By 9am / Out By 6pm $22; Evening: In After 6pm $10; 10 Hours: Sat-Sun $10; Event:  $48; ,Monthly:  $380,$380.00,https://www.parkme.com/lot/32146
 650 East Kendall Street Garage,"96 Linskey Way Cambridge, MA 02142, US ",30 Min: Mon-Fri; 7am-4pm $11; 1 Hour: Mon-Fri; 7am-4pm $16; 1.5 Hours: Mon-Fri; 7am-4pm $23; 3 Hours: Mon-Fri; 7am-4pm $33; Max: Mon-Fri; 7am-4pm $39; Evening: Mon-Fri; In After 4pm / Out By 6am $10; Each Hour: Mon-Fri; In After 4pm / Out By 6am; 3 Hour Max; With Validation $2; Each Hour: Sat-Sun; Out By 6am; 3 Hour Max; With Validation $2; 24 Hours: Mon-Fri $42; ,Monthly:  $380,$380.00,https://www.parkme.com/lot/218541
 AVA Theater District,"45 Stuart St Boston, MA 02116, US ",4 Hours:  $15; 8 Hours:  $18; 12 Hours:  $34; 24 Hours:  $43; ,Monthly:  $385,$385.00,https://www.parkme.com/lot/32163
 Landmark Center,"445 Park Dr Boston, MA 02215, US ",10 Min:  Free; 30 Min:  $5; 1 Hour:  $7; 1.5 Hours:  $10; 2 Hours:  $12; 2.5 Hours:  $15; 18 Hours:  $28; 30 Min: With Validation $2; 1 Hour: With Validation $3; 1.5 Hours: With Validation $6; 2 Hours: With Validation $9; 2.5 Hours: With Validation $13; 18 Hours: With Validation $24; Event: 18 Hours $50-$55; ,Monthly:  $145-$385,$385.00,https://www.parkme.com/lot/80426
